0.971595:	(-0.0816849, 1.2606, 4.66734), (0.198014, -0.875821, -0.440146) - 96149, 0.849779
	(-0.0309158, 1.277, 4.69338), (0.0395412, -0.989252, -0.140772) - 93437, 0.00986618
0.963387:	(-0.536819, -2.43403, 7.5893), (0.442939, -0.114841, -0.889166) - 40929, 0.010658
	(-0.216909, -2.2602, 7.28368), (0.315935, 0.166997, -0.933968) - 42470, 0.0430891
0.924362:	(-0.168771, -0.399979, 4.47299), (0.337874, -0.73899, -0.582868) - 25168, 0.0170084
	(0.0153049, -0.552392, 4.25299), (-0.204719, 0.718618, 0.664589) - 23299, 0.0254201
0.842713:	(0.858832, 0.028413, 4.95037), (-0.204718, -0.0258992, 0.978478) - 25036, 0.0294543
	(1.00445, -0.363801, 4.39304), (0.0659475, -0.442528, -0.894326) - 21241, 0.010464
0.793366:	(-0.332273, -2.34573, 7.69519), (-0.415807, 0.124019, 0.900957) - 52892, 0.0110598
	(-0.216909, -2.2602, 7.28368), (0.315935, 0.166997, -0.933968) - 42470, 0.0430891
0.774668:	(-0.247393, -2.34829, 7.73855), (0.4299, 0.398522, -0.810164) - 54036, 0.025329
	(-0.216909, -2.2602, 7.28368), (0.315935, 0.166997, -0.933968) - 42470, 0.0430891
0.738053:	(0.320845, -2.56027, 8.00548), (0.463638, -0.179493, -0.867653) - 31980, 0.0214442
	(-0.216909, -2.2602, 7.28368), (0.315935, 0.166997, -0.933968) - 42470, 0.0430891
0.602733:	(-0.788039, -0.383828, 4.22716), (-0.292525, 0.681068, 0.671249) - 18927, 0.0134051
	(0.0153049, -0.552392, 4.25299), (-0.204719, 0.718618, 0.664589) - 23299, 0.0254201
0.55102:	(0.858832, 0.028413, 4.95037), (-0.204718, -0.0258992, 0.978478) - 25036, 0.0294543
	(0.51753, -0.389411, 4.3408), (-0.158958, -0.148808, 0.976006) - 18777, 0.0226237
0.504648:	(-0.502049, -0.817129, 4.80901), (-0.0105983, 0.954957, 0.296555) - 24452, 0.0073472
	(-1.12208, -1.09915, 5.16634), (-0.078777, 0.936492, 0.341727) - 17002, 0.0265778
0.45171:	(-1.56554, -1.11965, 5.24484), (-0.284149, 0.618215, 0.73285) - 7947, 0.00317761
	(-1.19437, -1.08434, 5.12858), (-0.124356, 0.730534, 0.671458) - 8775, 0.0238521
0.426871:	(-0.0961965, -0.422081, 4.50228), (0.381569, -0.273716, -0.882884) - 11373, 0.00346612
	(0.51753, -0.389411, 4.3408), (-0.158958, -0.148808, 0.976006) - 18777, 0.0226237
0.374783:	(-1.95468, -1.07419, 4.90533), (0.604132, -0.605015, -0.518635) - 5256, 0.00215927
	(-1.8732, -1.08874, 4.8702), (0.485892, -0.79559, -0.361865) - 4012, 0.0223891
0.359446:	(-1.02031, -0.0992987, 3.9883), (0.370427, 0.278114, -0.886249) - 7725, 0.000372005
	(-1.60526, -0.55329, 4.20728), (-0.318405, -0.130596, 0.938916) - 5685, 0.430953
0.318453:	(-1.21734, -1.06551, 5.37772), (0.191234, -0.667715, -0.719435) - 4098, 0.00155131
	(-2.07025, -1.07389, 4.92739), (0.234337, -0.281519, -0.930501) - 2721, 0.0105462
0.318028:	(-1.56554, -1.11965, 5.24484), (-0.284149, 0.618215, 0.73285) - 7947, 0.00317761
	(-1.18037, -1.13057, 5.13206), (-0.347675, 0.805232, 0.480337) - 11982, 0.00250171
0.297926:	(-1.40841, -1.14283, 5.33956), (0.277681, -0.0729721, -0.957898) - 4329, 0.00159132
	(-2.07025, -1.07389, 4.92739), (0.234337, -0.281519, -0.930501) - 2721, 0.0105462
0.251861:	(-1.21734, -1.06551, 5.37772), (0.191234, -0.667715, -0.719435) - 4098, 0.00155131
	(-1.65486, -1.08031, 4.94009), (-0.063191, 0.67785, 0.73248) - 7450, 0.00368433
0.251522:	(-1.86364, -1.09392, 5.00587), (0.490519, -0.35789, -0.794547) - 8099, 0.0173453
	(-1.20965, -1.15297, 5.18966), (0.334958, -0.735289, -0.589196) - 14739, 0.00413657
0.247922:	(1.083, 0.291902, 5.07605), (-0.311025, -0.138468, 0.940261) - 15690, 0.0824161
	(1.29604, -0.305961, 4.44027), (-0.106979, -0.247679, 0.962918) - 8526, 0.0196518
